default,Identifier,Remarks,hu,it,es esm
"You can't quickload during a netgame!

Press a key.",QLOADNET,,"Non puoi fare un quickload durante una partita in rete!

Premi un tasto.","Non puoi fare un quickload durante una partita in rete!

Premi un tasto.","¡No puedes cargar un guardado rápido mientras juegas en línea!

Presiona una tecla."
"You haven't picked a quicksave slot yet!

Press a key.",QSAVESPOT,,"Nn e' scelto nessuno slot per salva' al volo!

Pigia n botone a cazzo.","Non hai ancora scelto uno slot per il quicksave!

Premi un tasto.","¡No has seleccionado una ranura de guardado rápido!

Presiona una tecla."
"You can't start a new game
while in a network game.

Press a key.",NEWGAME,,"Non puoi iniziare una nuova partita
durante una partita in rete.

Premi un tasto.","Non puoi iniziare una nuova partita
durante una partita in rete.

Premi un tasto.","No puedes iniciar una nueva partida mientras estás jugando en línea.

Presiona una tecla."
"Are you sure? This skill level
isn't even remotely fair.

Press Y or N.",NIGHTMARE,,"Sei sicuro? Questo livello di difficoltà
è dannatamente difficile.

Premi Y oppure N.","Sei sicuro? Questo livello di difficoltà
è dannatamente difficile.

Premi Y oppure N.","¿Estás segur@[ao_esp]? Este nivel de dificultad
no es ni remotamente justo.

Presiona Y o N."
"This is the shareware version of Doom.

You need to order the entire trilogy.

Press a key.",SWSTRING,,"Questa è la versione shareware di doom.

Devi ordinare la trilogia completa.

Premi un tasto.","Questa è la versione shareware di doom.

Devi ordinare la trilogia completa.

Premi un tasto.","Esta es la versión demo (shareware) de Doom.

Necesitas adquirir la versión completa (Ultimate).

Presiona una tecla."
"You can't end a netgame!

Press a key.",NETEND,,"Non puoi terminare una partita in rete!

Premi un tasto.","Non puoi terminare una partita in rete!

Premi un tasto.","¡No puedes terminar una partida en línea!

Presiona una tecla."
"Are you sure you want to end the game?

Press Y or N.",ENDGAME,,"Se' sicuro de vole' stoppa' la partita?

Pigia Y o N","Sei sicuro di voler terminare la partita?

Premi Y oppure N.","¿Estás segur@[ao_esp] de que deseas cerrar el juego?

Presiona Y ó N."
Are you sure you want to quit?,RAVENQUITMSG,,Se' sicuro de vole abbandona' cosi'?,Sei sicuro di voler abbandonare?,¿Estás segur@[ao_esp] de que quieres salir?
Only available in the registered version,SWSTRING,,Disponibile solamente nella versione registrata,Disponibile solamente nella versione registrata,Solo disponible en la versión registrada
(Press Y to quit),DOSY,,(Pigia Y per usci'),(Premi Y per uscire),(Presiona Y para salir)
,,,,,
"Please don't leave, there's more
demons to toast!",QUITMSG1,,"Do cazzo stai a gi, nn gi' via subito cossi'!","Per favore non uscire, ci sono altri
demoni da ammazzare!","¡No te vayas, que aún quedan
demonios para freír!"
"Let's beat it -- this is turning
into a bloodbath!",QUITMSG2,,"Bravo, torna a gioca' coi tu giochini da gay","Ammettiamolo - tutto ciò si sta
trasformando in un bagno di sangue!","Aceptémoslo, ¡esto se está
convirtiendo en un baño de sangre!"
"I wouldn't leave if I were you.
DOS is much worse.",QUITMSG3,,"Non uscirei se fossi in te.
Il DOS è molto peggio.","Non uscirei se fossi in te.
Il DOS è molto peggio.","No me iría si fuera tú:
MS-DOS es mucho peor."
"You're trying to say you like DOS
better than me, right?",QUITMSG4,,"Stai cercando di dire che il DOS
ti piace più di me, vero?","Stai cercando di dire che il DOS
ti piace più di me, vero?","Estás tratando de decir que el
MS-DOS es mejor que yo, ¿cierto?"
"Don't leave yet -- there's a
demon around that corner!",QUITMSG5,,"Non abbandonare ora - c'è un
demone dietro l'angolo!","Non abbandonare ora - c'è un
demone dietro l'angolo!","¡No te vayas, que aún hay
demonios en la costa!"
"Ya know, next time you come in here
I'm gonna toast ya.",QUITMSG6,,"Sai, la prossima volta che verrai qui
ti farò a pezzi.","Sai, la prossima volta che verrai qui
ti farò a pezzi.","Ya lo sabes, la próxima vez 
que vengas voy a freírte."
Go ahead and leave. see if I care.,QUITMSG7,,"Esci pure, sai che mi frega.","Esci pure, sai che mi frega.",Ya vete. A ver si me importa.
"You want to quit?
Then, thou hast lost an eighth!",QUITMSG8,,"Vuoi uscire?
Allora hai perso il senno!","Vuoi uscire?
Allora hai perso il senno!","Salir del juego:
golpe de remo."
"Don't go now, there's a 
dimensional shambler waiting
at the DOS prompt!",QUITMSG9,,"Non andartene adesso, c'è un
portale dimensionale che ti aspetta
al prompt del DOS!","Non andartene adesso, c'è un
portale dimensionale che ti aspetta
al prompt del DOS!","¡No te vayas, que hay un vagabundo
dimensional en la consola de DOS!"
"Get outta here and go back
to your boring programs.",QUITMSG10,,"Vai fuori di qui e torna
ai tuoi noiosi programmi.","Vai fuori di qui e torna
ai tuoi noiosi programmi.","Ya vete y vuelve a tus
programitas aburridos."
"If I were your boss, I'd 
deathmatch ya in a minute!",QUITMSG11,,"Se fossi il tuo capo, ti batterei
a un deathmatch in un minuto!","Se fossi il tuo capo, ti batterei
a un deathmatch in un minuto!","Si yo fuera tu jefe, te golpearía
a muerte dentro de un minuto."
"Look, bud. you leave now
and you forfeit your body count!",QUITMSG12,,"Senti amico, esci adesso
e perdi la tua conta delle vittime!","Senti amico, esci adesso
e perdi la tua conta delle vittime!","A ver, amig@[ao_esp]. ¡Te vas ahora
y pierdes tu número de bajas!"
"Just leave. when you come
back, I'll be waiting with a bat.",QUITMSG13,,"Esci pure. quanto tornerai
ti aspetterò con un bastone.","Esci pure. quanto tornerai
ti aspetterò con un bastone.","Solo lárgate. Cuando vuelvas,
te esperaré con un bate."
"You're lucky I don't smack
you for thinking about leaving.",QUITMSG14,,"Sei fortunato che non ti picchi
per aver pensato di andartene.","Sei fortunato che non ti picchi
per aver pensato di andartene.","Tienes suerte de que
no pueda darte una paliza 
por pensar en salirte."
"Where are you going?!
What about the rebellion?",QUITMSG15,,"Dove stai andando?!
E la ribellione?","Dove stai andando?!
E la ribellione?","¿¡Adónde vas!?
¿Qué hay de la rebelión?"
"Carnage interruptus...
What a tease!",QUITMSG16,,"Macellus interruptus...
Che presa in giro!","Macellus interruptus...
Che presa in giro!","Masacre interruptus...
¡Menudo timo!"
"But you're the hope
-- my only chance!!",QUITMSG17,,"Ma tu sei la speranza
-- la mia unica possibilità!!","Ma tu sei la speranza
-- la mia unica possibilità!!","Pero tú eres la esperanza... 
¡¡Mi única oportunidad!!"
Nobody walks out on Blackbird.,QUITMSG18,,Nessuno gira le spalle a Blackbird.,Nessuno gira le spalle a Blackbird.,Nadie abandona a Blackbird.
I thought you were different...,QUITMSG19,,Pensavo tu fossi diverso...,Pensavo tu fossi diverso...,Pensé que eras diferente...
Fine! just kill and run!,QUITMSG20,,Ma bravo! Uccidi e scappi!,Ma bravo! Uccidi e scappi!,¡Bien! ¡Matas y huyes!
"You can quit...
but you can't hide...",QUITMSG21,,"Puoi uscire...
ma non puoi nasconderti...","Puoi uscire...
ma non puoi nasconderti...","Puedes salir...
Pero no esconderte..."
"Whaaa, what's the matter?
Mommy says dinnertime?",QUITMSG22,,"Eehi, che problema c'è?
La mamma ha detto che è ora di cena?","Eehi, che problema c'è?
La mamma ha detto che è ora di cena?","¿Queeeeeé?, ¿qué sucede?
¿Mami te llama a comer?"
"Don't quit now, there are still
flemoids on the loose!",QUITMSG23,,"Non uscire ora, ci sono ancora
flemoidi a piede libero!","Non uscire ora, ci sono ancora
flemoidi a piede libero!","No te vayas ahora,
¡que aún hay flemoides sueltos!"
"Don't give up -- the flemoids will
get the upper hand!",QUITMSG24,,"Non arrenderti -- i flemoidi
ci sopraffaranno!","Non arrenderti -- i flemoidi
ci sopraffaranno!","No te rindas... ¡o los
flemoides tendrán ventaja!"
"Don't leave now.
We need your help!",QUITMSG25,,"Non andartene ora.
Ci serve il tuo aiuto!","Non andartene ora.
Ci serve il tuo aiuto!","No te vayas ahora.
¡Necesitamos tu ayuda!"
"I hope you're just taking a
break for Chex(R) party mix.",QUITMSG26,,"Spero tu stia solo facendo una
pausa per prendere un Chex(R) party mix.","Spero tu stia solo facendo una
pausa per prendere un Chex(R) party mix.","Espero que solo estés tomando un descanso
para la fiesta de mezcladitos Chex(R)."
"Don't quit now!
We need your help!",QUITMSG27,,"Non uscire ora!
Ci serve il tuo aiuto!","Non uscire ora!
Ci serve il tuo aiuto!","¡No salgas ahora!
¡Necesitamos tu ayuda!"
"Don't abandon the
Intergalactic Federation of Cereals!",QUITMSG28,,"Non abbandonare la
Federazione Intergalattica dei Cereali!","Non abbandonare la
Federazione Intergalattica dei Cereali!","¡No abandones a la Federación
Intergaláctica de Cereales!"
"The real Chex(R) Warrior
wouldn't give up so fast!",QUITMSG29,,"Il vero Guerriero Chex(R)
non si arrenderebbe così in fretta!","Il vero Guerriero Chex(R)
non si arrenderebbe così in fretta!","¡El verdadero Chex(R) Warrior
no se rendiría tan rápido!"
,,,,,
You got a pickup,TXT_DEFAULTPICKUPMSG,,E' arcolto qualcosa.,Hai raccolto qualcosa,Encuentras un objeto
,,,,,
Any key will open this door,PD_ANY,,Una chiave qualunque aprirà questa porta,Una chiave qualunque aprirà questa porta,Cualquier llave puede abrir esta puerta
Any key will activate this object,PD_ANYOBJ,,Una chiave qualunque attiverà questo oggetto,Una chiave qualunque attiverà questo oggetto,Cualquier llave puede activar este objeto
You need all three keys to open this door,PD_ALL3,,Ti servono tutte e tre le chiavi per aprire questa porta,Ti servono tutte e tre le chiavi per aprire questa porta,Necesitas las tres llaves para abrir esta puerta
You need all three keys to activate this object,PD_ALL3O,,Ti servono tutte e tre le chiavi per attivare questo oggetto,Ti servono tutte e tre le chiavi per attivare questo oggetto,Necesitas las tres llaves para activar este objeto
You need all six keys to open this door,PD_ALL6,,Ti servono tutte e sei le chiavi per aprire questa porta,Ti servono tutte e sei le chiavi per aprire questa porta,Necesitas las seis llaves para abrir esta puerta
You need all six keys to activate this object,PD_ALL6O,,Ti servono tutte e tre le chiavi per attivare questo oggetto,Ti servono tutte e tre le chiavi per attivare questo oggetto,Necesitas las seis llaves para activar este objeto
You need all the keys,PD_ALLKEYS,,Ti servono tutte le chiavi,Ti servono tutte le chiavi,Necesitas todas las llaves
,,,,,
[Message unsent],HUSTR_MSGU,,[Messaggio non inviato],[Messaggio non inviato],[Mensaje sin enviar]
You mumble to yourself,HUSTR_TALKTOSELF1,,Pensi fra te e te,Pensi fra te e te,Te murmuras a ti mism@[ao_esp]
Who's there?,HUSTR_TALKTOSELF2,,Chi c'è lì?,Chi c'è lì?,¿Quién está ahí?
You scare yourself,HUSTR_TALKTOSELF3,,Ti spaventi da solo,Ti spaventi da solo,Te asustas a ti mism@[ao_esp]
You start to rave,HUSTR_TALKTOSELF4,,Inizi a delirare,Inizi a delirare,Empiezas a delirar
You've lost it...,HUSTR_TALKTOSELF5,,Sei andato...,Sei andato...,Te has vuelto loc@[ao_esp]...
[Message Sent],HUSTR_MESSAGESENT,,[Messaggio Inviato],[Messaggio Inviato],[Mensaje enviado]
,,,,,
Music Change,STSTR_MUS,,Cambio di musica,Cambio di musica,Cambio de música
Impossible Selection,STSTR_NOMUS,,Selezione impossibile,Selezione impossibile,Selección imposible
Degreelessness Mode ON,STSTR_DQDON,,Modalità Invincibilità ATTIVATA,Modalità Invincibilità ATTIVATA,Invulnerabilidad ACTIVADA
Degreelessness Mode OFF,STSTR_DQDOFF,,Modalità Invincibilità DISATTIVATA,Modalità Invincibilità DISATTIVATA,Invulnerabilidad DESACTIVADA
Ultimate Degreelessness Mode ON,STSTR_DQD2ON,,Modalità Invincibilità Ultima ATTIVATA,Modalità Invincibilità Ultima ATTIVATA,Invulnerabilidad absoluta ACTIVADA
Ultimate Degreelessness Mode OFF,STSTR_DQD2OFF,,Modalità Invincibilità Ultima DISATTIVATA,Modalità Invincibilità Ultima DISATTIVATA,Invulnerabilidad absoluta DESACTIVADA
Very Happy Ammo Added,STSTR_KFAADDED,,TUTTE LE ARMI DIOCANE SI!,Equipaggiamento Completato,Munición añadida hasta el tope
Ammo (no keys) Added,STSTR_FAADDED,,TUTTE LE ARMI MA SENZA TUTTE LE CHIAVI DI TUTTI I FORZIERI,Equipaggiamento Completato (senza chiavi),Munición añadida (sin llaves)
No Clipping Mode ON,STSTR_NCON,,Passi n mezzo ai muri ON,No Clipping ATTIVATO,Modo de traspaso ACTIVADO
No Clipping Mode OFF,STSTR_NCOFF,,Passi n mezzo ai muri OFF,No Clipping DISATTIVATO,Modo de traspaso DESACTIVADO
No Clipping Mode 2 ON,STSTR_NC2ON,,Passi n mezzo ai muri e voli anche ON,No Clipping 2 ATTIVATO,Modo de traspaso 2 ACTIVADO
No Clipping Mode 2 OFF,STSTR_NC2OFF,,Passi n mezzo ai muri e voli anche OFF,No Clipping 2 DISATTIVATO,Modo de traspaso 2 DESACTIVADO
"inVuln, Str, Inviso, Rad, Allmap, or Lite-amp",STSTR_BEHOLD,,"inVuln, berSerk, Invisib, tuta anti-Rad, mAppa tutta, o amplif-Luce","inVuln, berSerk, Invisib, tuta anti-Rad, mAppa tutta, o amplif-Luce","inVuln, Str, Inviso, Rad, Allmap, o Lite-amp."
Power-up Toggled,STSTR_BEHOLDX,,Power-up concesso/tolto,Power-up concesso/tolto,Poder alternado
... doesn't suck - GM,STSTR_CHOPPERS,,... non fa schifo - GM,... non fa schifo - GM,... no apesta - GM
Changing Level...,STSTR_CLEV,,"Grezzodue 2 sta caricando, quindi stai calmo!","Grezzodue 2 sta caricando, quindi stai calmo!","Cambiando de nivel...
"
Buddha mode ON,TXT_BUDDHAON,,Modalità Buddha ATTIVATA,Modalità Buddha ATTIVATA,Modo Buda ACTIVADO
Buddha mode OFF,TXT_BUDDHAOFF,,Modalità Buddha DISATTIVATA,Modalità Buddha DISATTIVATA,Modo Buda DESACTIVADO
Ultimate Buddha Mode ON,TXT_BUDDHA2ON,,Modalità Ultimo Buddha ATTIVATA,Modalità Ultimo Buddha ATTIVATA,Modo Buda Supremo ACTIVADO
Ultimate Buddha Mode OFF,TXT_BUDDHA2OFF,,Modalità Ultimo Buddha DISATTIVATA,Modalità Ultimo Buddha DISATTIVATA,Modo Buda Supremo DESACTIVADO
Power on,TXT_CHEATPOWERON,,Potere ATTIVATO,Potere ATTIVATO,Poder activado
Power off,TXT_CHEATPOWEROFF,,Potere DISATTIVATO,Potere DISATTIVATO,Poder desactivado
Full health,TXT_CHEATHEALTH,,Piena salute,Piena salute,Salud al máximo
All keys,TXT_CHEATKEYS,,TUTTE LE CHIAVI DI TUTTI I FORZIERI!,TUTTE LE CHIAVI DI TUTTI I FORZIERI!,Todas las llaves
Sound debug on,TXT_CHEATSOUNDON,,Debug del suono attivato,Debug del suono attivato,Depuración de sonido activada
Sound debug off,TXT_CHEATSOUNDOFF,,Debug del suono disattivato,Debug del suono disattivato,Depuración de sonido desactivada
"Trying to cheat, eh? Now you die!",TXT_CHEATIDDQD,,"Cerchi di barare, eh? Allora muori!","Cerchi di barare, eh? Allora muori!","¿Tratando de hacer trampas, eh? ¡Muere!"
Cheater - you don't deserve weapons,TXT_CHEATIDKFA,,Imbroglione - non meriti armi,Imbroglione - non meriti armi,¡Trampos@[ao_esp]! No mereces tener armas
Ticker on,TXT_CHEATTICKERON,,Ticker attivato,Ticker attivato,Contador activado
Ticker off,TXT_CHEATTICKEROFF,,Ticker disattivato,Ticker disattivato,Contador desactivado
You got it,TXT_CHEATARTIFACTS3,,Concesso,Concesso,Lo tienes
"You got the Midas Touch, baby",TXT_MIDASTOUCH,,"Hai avuto il Tocco di Mida, baby","Hai avuto il Tocco di Mida, baby","Tienes el toque de Midas, muchach@[ao_esp]"
You got the stuff!,TXT_GOTSTUFF,,Hai avuto il materiale!,Hai avuto il materiale!,¡Tienes un montón de cosas!
Freeze mode on,TXT_FREEZEON,,Modalità arresto del tempo attivata,Modalità arresto del tempo attivata,Modo suspendido activado
Freeze mode off,TXT_FREEZEOFF,,Modalità arresto del tempo disattivata,Modalità arresto del tempo disattivata,Modo suspendido desactivado
You feel strange...,TXT_STRANGE,,Ti senti strano...,Ti senti strano...,Te sientes extrañ@[ao_esp]...
You feel even stranger.,TXT_STRANGER,,Ti senti ancora più strano.,Ti senti ancora più strano.,Te sientes aún más extrañ@[ao_esp]
You feel like yourself again.,TXT_NOTSTRANGE,,Ti senti di nuovo te stesso.,Ti senti di nuovo te stesso.,Te sientes como tú mism@[ao_esp] otra vez.
Lead boots on,TXT_LEADBOOTSON,,Stivali di Piombo ON,Stivali di Piombo ON,Botas de plomo activadas
Lead boots off,TXT_LEADBOOTSOFF,,Stivali di Piombo OFF,Stivali di Piombo OFF,Botas de plomo desactivadas
You feel lighter,TXT_LIGHTER,,Ti senti più leggero,Ti senti più leggero,Te sientes más liger@[ao_esp]
Gravity weighs you down,TXT_GRAVITY,,La gravità ti riporta a terra,La gravità ti riporta a terra,La gravedad te hace descender
No Target ON,TXT_NOTARGET_ON,,Modalità Mostri ciechi e sordi ATTIVATA,Modalità Mostri ciechi e sordi ATTIVATA,No Objetivo ACTIVADO
No Target OFF,TXT_NOTARGET_OFF,,Modalità Mostri ciechi e sordi DISATTIVATA,Modalità Mostri ciechi e sordi DISATTIVATA,No Objetivo DESACTIVADO
"""Quake with fear!""",TXT_ANUBIS_ON,,"""Trema con terrore!""","""Trema con terrore!""","""¡Temblad de miedo!"""
No more Ogre Armor,TXT_ANUBIS_OFF,,Niente più armatura Ogre,Niente più armatura Ogre,No más armadura de Ogro
chasecam ON,TXT_CHASECAM_ON,,Modalità camera da inseguimento ATTIVATA,Modalità camera da inseguimento ATTIVATA,Cámara de seguimiento ACTIVADA
chasecam OFF,TXT_CHASECAM_OFF,,Modalità camera da inseguimento DISATTIVATA,Modalità camera da inseguimento DISATTIVATA,Cámara de seguimiento DESACTIVADA
1 baddie killed,TXT_BADDIE_KILLED,,Ucciso 1 maligno,Ucciso 1 maligno,Un malote aniquilado
%d baddies killed,TXT_BADDIES_KILLED,,Uccisi %d maligni,Uccisi %d maligni,%d malotes aniquilados
1 monster killed,TXT_MONSTER_KILLED,,Ucciso 1 mostro,Ucciso 1 mostro,Un monstruo aniquilado
%d monsters killed,TXT_MONSTERS_KILLED,,Uccisi %d mostri,Uccisi %d mostri,%d monstruos aniquilados
Unable to resurrect. Player is no longer connected to its body.,TXT_NO_RESURRECT,,Impossibile resuscitarsi. Il giocatore non è più connesso al suo corpo.,Impossibile resuscitarsi. Il giocatore non è più connesso al suo corpo.,Imposible de resucitar. El jugador ya no está conectado a su cuerpo.
All Artifacts!,TXT_ALL_ARTIFACTS,,Tutti gli Artefatti!,Tutti gli Artefatti!,¡Todos los artefactos!
What do you want to kill outside of a game?,TXT_WHAT_KILL,,Cosa vorresti uccidere fuori dal gioco?,Cosa vorresti uccidere fuori dal gioco?,¿Qué intentas matar fuera de una partida?
Frozen player properties turned off,TXT_NOT_FROZEN,,Proprietà del giocatore ghiacciato disattivate,Proprietà del giocatore ghiacciato disattivate,Propiedades de jugador congelado desactivadas
,,,,,
Follow Mode OFF,AMSTR_FOLLOWOFF,,Mappa che scorre ATTIVATA,Mappa scorribile ATTIVATA,Modo de seguimiento DESACTIVADO
Follow Mode ON,AMSTR_FOLLOWON,,Mappa che scorre DISATTIVATA,Mappa scorribile DISATTIVATA,Modo de seguimiento ACTIVADO
Grid ON,AMSTR_GRIDON,,Griglia ATTIVATA,Griglia ATTIVATA,Cuadrícula ACTIVADA
Grid OFF,AMSTR_GRIDOFF,,Griglia DISATTIVATA,Griglia DISATTIVATA,Cuadrícula DESACTIVADA
Texture Mode ON,AMSTR_TEXON,,Modalità Texture ATTIVATA,Modalità Texture ATTIVATA,Modo de texturas ACTIVADO
Texture Mode OFF,AMSTR_TEXOFF,,Modalità Texture DISATTIVATA,Modalità Texture DISATTIVATA,Modo de texturas DESACTIVADO
Marked Spot,AMSTR_MARKEDSPOT,,Posizione segnata,Posizione segnata,Punto marcado
All Marks Cleared,AMSTR_MARKSCLEARED,,Cancellati tutti i segni,Cancellati tutti i segni,Todas las marcas eliminadas
,,,,,
Fraglimit hit.,TXT_FRAGLIMIT,,Fraglimit raggiunto.,Fraglimit raggiunto.,Límite de bajas alcanzado.
Timelimit hit.,TXT_TIMELIMIT,,Timelimit raggiunto.,Timelimit raggiunto.,Límite de tiempo alcanzado.
%o was looking good until %g killed %hself!,SPREEKILLSELF,,%o stava andando bene finchè non si è ucciso da solo!,%o stava andando bene finchè non si è ucciso da solo!,¡%o se veía bien hasta que %g se mató a si mism@[ao_esp]!
%o's killing spree was ended by %k,SPREEOVER,,La sequela di frag di %o è stata terminata da %k,La sequela di frag di %o è stata terminata da %k,%k acabó con la racha de muerte de %o
%k is on a killing spree!,SPREE5,,%k è preda di un momento omicida!,%k è preda di un momento omicida!,¡%k está atacando de lo lindo!
%k is on a rampage!,SPREE10,,%k sta facendo un massacro!,%k sta facendo un massacro!,¡%k está en medio de una aniquilación!
%k is dominating!,SPREE15,,%k sta dominando tutti!,%k sta dominando tutti!,¡%k está dominando!
%k is unstoppable!,SPREE20,,%k è inarrestabile!,%k è inarrestabile!,¡%k es imparable!
%k is Godlike!,SPREE25,,%k è un dio!,%k è un dio!,¡%k es una máquina de matar!
Double kill!,MULTI2,,Doppia uccisione!,Doppia uccisione!,¡Dos menos!
Multi kill!,MULTI3,,Tripla uccisione!,Tripla uccisione!,¡Multidestrucción!
Ultra kill!,MULTI4,,Ultra uccisione!,Ultra uccisione!,¡¡HIPERDESTRUCCIÓN!!
Monster kill!,MULTI5,,Uccisione Mostruosa!,Uccisione Mostruosa!,¡¡¡S.U.P.E.R.D.E.S.T.R.U.C.C.I.Ó.N!!!
,,,,,
Bonus,SCORE_BONUS,,,,Bonificaciones
Color,SCORE_COLOR,,Colore,Colore,
Secret,SCORE_SECRET,,Segreto,Segreto,Secreto
Name,SCORE_NAME,,Nome,Nome,Nombre
Delay (ms),SCORE_DELAY,,Ritardo (ms),Ritardo (ms),Retraso (ms)
Frags,SCORE_FRAGS,,,,Bajas
Deaths,SCORE_DEATHS,,Morti,Morti,Muertes
Other,SCORE_OTHER,,Altro,Altro,Demás
Missed,SCORE_MISSED,,Mancati,Mancati,Pérdidas
Total,SCORE_TOTAL,,Totale,Totale,
Level Time,SCORE_LVLTIME,,Tempo Livello,Tempo Livello,Tiempo de nivel
,,,,,
Kills,TXT_IMKILLS,,Sbudellamenti,Ammazzamenti,Muertes
Items,TXT_IMITEMS,,Roba arcolta,Robe Raccolte,Objetos
Secrets,TXT_IMSECRETS,,Segreti,Segreti,Secretos
Time,TXT_IMTIME,,Tempo,Tempo,Tiempo
Par,TXT_IMPAR,,Media,Media,
Finished,WI_FINISHED,,Fnito!,Finito!,Completado
Entering,WI_ENTERING,,Prossimo livello,Prossimo livello,Entrando a:
Now entering:,WI_ENTERING,,Entrando adesso in:,Entrando adesso in:,Ahora entrando a:
,,,,,
Monsters:,AM_MONSTERS,,Nemici,Nemici,Monstruos:
Secrets:,AM_SECRETS,,Segreti,Segreti,Secretos:
Items:,AM_ITEMS,,Robe arcolte,Roba raccolta,Objetos:
,,,,,
%o suicides.,OB_SUICIDE,,%o s'è amazzeto,%o si è suicidato.,%o se ha suicidado.
%o fell too far.,OB_FALLING,,%o è caduto troppo in basso.,%o è caduto troppo in basso.,%o se ha caído desde muy alto.
%o was squished.,OB_CRUSH,,%o è stato schiacciato.,%o è stato schiacciato.,%o ha quedado aplastad@[ao_esp].
%o tried to leave.,OB_EXIT,,%o ha provato a uscire.,%o ha provato a uscire.,%o ha tratado de huir.
%o can't swim.,OB_WATER,,%o non sapeva nuotare.,%o non sapeva nuotare.,%o no sabe nadar.
%o mutated.,OB_SLIME,,%o è mutato.,%o è mutato.,%o ha mutado.
%o melted.,OB_LAVA,,%o si è sciolto.,%o si è sciolto.,%o se ha fundido.
%o went boom.,OB_BARREL,,%o ha fatto bum.,%o ha fatto bum.,%o ha explotado en mil pedazos.
%o stood in the wrong spot.,OB_SPLASH,,%o si è trovato nel posto sbagliato.,%o si è trovato nel posto sbagliato.,%o estaba en el sitio equivocado.
%o should have stood back.,OB_R_SPLASH,,%o si sarebbe dovuto allontanare.,%o si sarebbe dovuto allontanare.,%o debería haberse apartado.
%o should have stood back.,OB_ROCKET,,%o si sarebbe dovuto allontanare.,%o si sarebbe dovuto allontanare.,%o debería haberse apartado.
%o killed %hself.,OB_KILLEDSELF,,%o ha ucciso se stesso.,%o ha ucciso se stesso.,%o se ha matado a sí mism@[ao_esp].
%o was killed by the power of voodoo.,OB_VOODOO,,%o è stato ucciso dalla potenza del voodoo.,%o è stato ucciso dalla potenza del voodoo.,A %o l@[ao_esp] ha matado el poder del vudú.
%o was telefragged by %k.,OB_MPTELEFRAG,,%o è stato telefraggato da %k.,%o è stato telefraggato da %k.,A %o l@[ao_esp] ha telefragmentado %k.
%o was telefragged.,OB_MONTELEFRAG,,%o si è fatto telefraggare.,%o si è fatto telefraggare.,A %o l@[ao_esp] han telefragmentado.
%o died.,OB_DEFAULT,,%o è morto.,%o è morto.,%o ha muerto.
%o was killed by %k.,OB_MPDEFAULT,,%o è stato ucciso da %k,%o è stato ucciso da %k,A %o l@[ao_esp] ha matado %k.
%k mows down a teammate.,OB_FRIENDLY1,,%k falcia via un compagno.,%k falcia via un compagno.,%k ha acribillado a un compañero.
%k seems to need glasses.,OB_FRIENDLY2,,%k sembra che abbia bisogno di occhiali.,%k sembra che abbia bisogno di occhiali.,%k parece necesitar gafas.
%k gets a frag for the other team.,OB_FRIENDLY3,,%k regala un frag all'altro team.,%k regala un frag all'altro team.,%k ha marcado una baja para el otro equipo.
%k loses another friend.,OB_FRIENDLY4,,%k perde un altro amico.,%k perde un altro amico.,%k ha perdido a otro amigo.
,,,,,
Picked up the armor.,GOTARMOR,,,,Encuentras una armadura.
Picked up the MegaArmor!,GOTMEGA,,Raccolto una MegaArmatura!,Raccolto una MegaArmatura!,¡Encuentras una Megaarmadura!
Picked up a health bonus.,GOTHTHBONUS,,,,Encuentras salud extra.
Picked up an armor bonus.,GOTARMBONUS,,,,Encuentras blindaje extra.
Picked up a stimpack.,GOTSTIM,,Raccolto uno stimpack.,Raccolto uno stimpack.,Encuentras un estimulante.
Picked up a medikit that you REALLY need!,GOTMEDINEED,,Hai raccolto un kit medico di cui avevi PROPRIO bisogno!,Hai raccolto un kit medico di cui avevi PROPRIO bisogno!,¡Encuentras un botiquín que REALMENTE necesitabas!
Picked up a medikit.,GOTMEDIKIT,,Raccolto un kit medico.,Raccolto un kit medico.,Encuentras un botiquín.
Supercharge!,GOTSUPER,,Sfera dell'Anima!,Sfera dell'Anima!,¡Supercarga!
Picked up a blue keycard.,GOTBLUECARD,,Raccolta una card d'accesso blu.,Raccolta una card d'accesso blu.,Encuentras una tarjeta de acceso azul.
Picked up a yellow keycard.,GOTYELWCARD,,Raccolta una card d'accesso gialla.,Raccolta una card d'accesso gialla.,Encuentras una tarjeta de acceso amarilla.
Picked up a red keycard.,GOTREDCARD,,Raccolta una card d'accesso rossa.,Raccolta una card d'accesso rossa.,Encuentras una tarjeta de acceso roja.
Picked up a blue skull key.,GOTBLUESKUL,,Raccolta una chiave-teschio blu.,Raccolta una chiave-teschio blu.,Encuentras una llave de calavera azul.
Picked up a yellow skull key.,GOTYELWSKUL,,Raccolta una chiave-teschio gialla.,Raccolta una chiave-teschio gialla.,Encuentras una llave de calavera amarilla
Picked up a red skull key.,GOTREDSKUL,,Raccolta una chiave-teschio rossa.,Raccolta una chiave-teschio rossa.,Encuentras una llave de calavera roja.
Invulnerability!,GOTINVUL,,MODALITA' PORCO ON,MODALITA' PORCO ON,¡Invulnerabilidad!
Berserk!,GOTBERSERK,,,,¡Berserker!
Partial Invisibility,GOTINVIS,,Invisibilità parziale,Invisibilità parziale,Invisibilidad parcial
Radiation Shielding Suit,GOTSUIT,,Tuta anti-radiazioni,Tuta anti-radiazioni,Traje antiradiación
Computer Area Map,GOTMAP,,Mappa Completata,Mappa Completata,Mapa completo
